s_tp,s_fp,s_tn,s_fn,a_tp,a_fp,a_tn,a_fn,zona
105,16,29,0,103,0,45,2,casa_sopocachi
122,8,20,0,122,0,28,0,casa_sopocachi
137,9,4,0,135,0,13,2,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
114,8,28,0,112,1,35,2,casa_sopocachi
132,13,5,0,132,0,18,0,casa_sopocachi
75,8,67,0,75,0,75,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
131,15,4,0,130,0,19,1,casa_sopocachi
115,18,17,0,115,2,33,0,casa_sopocachi
137,8,5,0,135,0,13,2,casa_sopocachi
139,7,4,0,138,0,11,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
143,3,4,0,142,0,7,1,casa_sopocachi
139,3,8,0,138,0,11,1,casa_sopocachi
136,9,5,0,135,1,13,1,casa_sopocachi
132,9,9,0,132,2,16,0,casa_sopocachi
136,8,6,0,136,2,12,0,casa_sopocachi
134,10,6,0,131,0,16,3,casa_sopocachi
135,15,0,0,134,0,15,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
118,30,2,0,116,1,31,2,casa_sopocachi
137,10,3,0,135,0,13,2,casa_sopocachi
137,8,5,0,136,0,13,1,casa_sopocachi
137,11,2,0,137,1,12,0,casa_sopocachi
98,5,47,0,98,0,52,0,casa_sopocachi
91,24,35,0,81,2,57,10,casa_sopocachi
136,13,1,0,136,0,14,0,casa_sopocachi
142,4,4,0,142,0,8,0,casa_sopocachi
139,4,7,0,139,0,11,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
140,5,5,0,140,1,9,0,casa_sopocachi
143,2,5,0,142,0,7,1,casa_sopocachi
76,6,68,0,76,0,74,0,casa_sopocachi
132,12,6,0,131,0,18,1,casa_sopocachi
136,11,3,0,136,1,13,0,casa_sopocachi
144,2,4,0,143,0,6,1,casa_sopocachi
106,16,28,0,106,2,42,0,casa_sopocachi
131,10,9,0,130,0,19,1,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
128,16,6,0,128,1,21,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
143,1,6,0,142,0,7,1,casa_sopocachi
143,3,4,0,142,0,7,1,casa_sopocachi
104,25,21,0,102,3,43,2,casa_sopocachi
139,3,8,0,139,0,11,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
113,14,23,0,112,1,36,1,casa_sopocachi
140,7,3,0,140,1,9,0,casa_sopocachi
131,8,11,0,131,4,15,0,casa_sopocachi
142,2,6,0,141,0,8,1,casa_sopocachi
125,16,9,0,123,1,24,2,casa_sopocachi
137,6,7,0,136,0,13,1,casa_sopocachi
132,12,6,0,132,0,18,0,casa_sopocachi
138,7,5,0,137,0,12,1,casa_sopocachi
142,3,5,0,140,0,8,2,casa_sopocachi
143,2,5,0,142,0,7,1,casa_sopocachi
109,39,2,0,101,15,26,8,casa_sopocachi
140,6,4,0,140,2,8,0,casa_sopocachi
79,7,64,0,79,0,71,0,casa_sopocachi
133,9,8,0,133,2,15,0,casa_sopocachi
134,13,3,0,134,1,15,0,casa_sopocachi
138,5,7,0,138,3,9,0,casa_sopocachi
106,7,37,0,104,0,44,2,casa_sopocachi
18,17,115,0,17,1,131,1,casa_sopocachi
135,15,0,0,131,5,10,4,casa_sopocachi
126,20,4,0,118,1,23,8,casa_sopocachi
142,1,7,0,141,0,8,1,casa_sopocachi
140,3,7,0,140,0,10,0,casa_sopocachi
142,4,4,0,142,0,8,0,casa_sopocachi
141,4,5,0,141,0,9,0,casa_sopocachi
143,2,5,0,142,0,7,1,casa_sopocachi
105,11,34,0,105,2,43,0,casa_sopocachi
125,9,16,0,125,1,24,0,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
143,3,4,0,142,0,7,1,casa_sopocachi
140,3,7,0,140,1,9,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
118,11,21,0,114,0,32,4,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
104,40,6,0,98,0,46,6,casa_sopocachi
142,2,6,0,142,0,8,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
140,6,4,0,138,0,10,2,casa_sopocachi
110,8,32,0,110,2,38,0,casa_sopocachi
140,4,6,0,140,1,9,0,casa_sopocachi
144,2,4,0,144,0,6,0,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
97,19,34,0,96,3,50,1,casa_sopocachi
99,6,45,0,99,3,48,0,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
138,10,2,0,138,0,12,0,casa_sopocachi
136,13,1,0,133,0,14,3,casa_sopocachi
138,4,8,0,138,0,12,0,casa_sopocachi
140,5,5,0,140,0,10,0,casa_sopocachi
60,31,59,0,55,0,90,5,casa_sopocachi
136,9,5,0,134,0,14,2,casa_sopocachi
133,12,5,0,133,0,17,0,casa_sopocachi
132,12,6,0,129,0,18,3,casa_sopocachi
137,12,1,0,137,2,11,0,casa_sopocachi
141,4,5,0,141,1,8,0,casa_sopocachi
150,0,0,0,135,0,0,15,casa_sopocachi
140,3,7,0,138,0,10,2,casa_sopocachi
76,17,57,0,75,0,74,1,casa_sopocachi
141,3,6,0,141,1,8,0,casa_sopocachi
135,11,4,0,135,0,15,0,casa_sopocachi
141,4,5,0,141,0,9,0,casa_sopocachi
141,2,7,0,141,0,9,0,casa_sopocachi
128,15,7,0,127,0,22,1,casa_sopocachi
118,13,19,0,118,4,28,0,casa_sopocachi
137,10,3,0,136,0,13,1,casa_sopocachi
110,10,30,0,109,1,39,1,casa_sopocachi
85,31,34,0,85,6,59,0,casa_sopocachi
132,14,4,0,131,1,17,1,casa_sopocachi
142,4,4,0,142,2,6,0,casa_sopocachi
124,13,13,0,122,0,26,2,casa_sopocachi
102,26,22,0,98,3,45,4,casa_sopocachi
108,8,34,0,108,1,41,0,casa_sopocachi
124,12,14,0,122,0,26,2,casa_sopocachi
138,7,5,0,134,0,12,4,casa_sopocachi
142,3,5,0,141,0,8,1,casa_sopocachi
121,19,10,0,118,0,29,3,casa_sopocachi
136,13,1,0,135,1,13,1,casa_sopocachi
108,6,36,0,108,1,41,0,casa_sopocachi
119,21,10,0,119,4,27,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
138,11,1,0,138,0,12,0,casa_sopocachi
138,12,0,0,138,1,11,0,casa_sopocachi
